Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Istana Tipe Deluxe Bubutan Surabaya,False,True,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Soraya Hasan Syihab Tipe B Genteng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.275.000,7.0
-,+,Kost Soraya Hasan Syihab Tipe A Genteng Surabaya,True,True,True,True,True,True,Ada,0,Rp1.375.000,7.0
-,+,Kost Wonorejo Mansion Tegalsari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Ibu Enny Sawahan Surabaya,True,True,True,True,True,True,Ada,0,Rp1.400.000,7.0
-,+,Kost putri Pandegiling Tegalsari Surabaya,False,True,True,True,True,False,Ada,0,Rp1.400.000,5.0
-,+,Kost Kedondong Florence Tipe C Tegalsari Surabaya,False,False,False,False,True,False,Ada,0,Rp1.375.000,2.0
-,+,Kost Miky Tipe AC Gubeng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.500.000,6.0
-,+,Kost Istana Tipe VIP2 Bubutan Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,7.0
-,+,Kost Buba Tipe A Sawahan Surabaya,False,False,True,True,True,False,Ada,0,Rp1.400.000,4.0
-,+,Kost Dian House Syariah Tipe Single Genteng Surabaya,False,False,True,True,True,True,Ada,0,Rp1.300.000,5.0
-,+,Kost Eksklusif Tipe A Genteng Surabaya,False,False,True,True,True,True,Ada,0,Rp1.300.000,5.0
-,+,Kost Dian House Syariah Tipe Twin Genteng Surabaya,False,False,True,True,True,True,Ada,0,Rp1.300.000,5.0
-,+,Kost Omah Arjuno 1 Executive Sawahan Surabaya,True,True,False,True,True,True,Ada,0,Rp1.500.000,6.0
-,+,Kost Bapak Farid Tambaksari Surabaya,True,True,True,False,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Tepi Jais AC Genteng Surabaya,False,True,True,True,True,True,Ada,0,Rp1.300.000,6.0
-,+,Kost Nalatra Tipe B Bubutan Surabaya,False,True,True,False,True,True,Ada,0,Rp1.250.000,5.0
-,+,Kost Nyo Paris 11 Gubeng Surabaya,False,True,True,True,True,False,Ada,0,Rp1.300.000,5.0
-,+,Kost Dian House Syariah Tipe Deluxe Genteng Surabaya,False,False,True,True,True,True,Ada,0,Rp1.300.000,5.0
-,+,Kost Ambengan Basukirahmat Tipe A Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp1.300.000,7.0
-,+,Kost Tambak Madu II Tipe A Simokerto Surabaya,True,True,True,False,True,True,Ada,0,Rp1.350.000,6.0
-,-,Kost Klaudia I Tegalsari Surabaya,True,False,True,False,True,False,Ada,0,Rp1.250.000,3.0
-,+,Kost 22 Tipe A Gubeng Surabaya,True,True,True,True,True,False,Ada,0,Rp1.500.000,6.0
-,+,Kost Bless 37 Tipe B Genteng Surabaya,False,True,True,True,True,False,Ada,0,Rp1.300.000,5.0
-,-,Kost Bu Sabar Gubeng Surabaya,False,False,False,True,True,False,Sisa 3 kamar,0,Rp1.500.000,2.0
-,-,Kost Nia Biliton 8 Tipe B Gubeng Surabaya,False,False,True,True,True,True,Sisa 3 kamar,0,Rp1.500.000,4.0
-,-,Kost Bapak Eko Gubeng Surabaya,True,True,True,False,True,False,Ada,0,Rp1.200.000,4.0
-,-,Kost Kertajaya 58 Tipe A Gubeng Surabaya,False,True,True,True,True,False,Sisa 1 kamar,0,Rp1.250.000,4.0
-,-,Kost Nia Biliton 8 Tipe C Gubeng Surabaya,False,False,True,True,True,True,Ada,0,Rp1.500.000,4.0
-,-,Kost Nia Biliton 8 Tipe A Gubeng Surabaya,False,False,True,True,True,True,Sisa 3 kamar,0,Rp1.500.000,4.0
-,-,Kost Eksklusif Kedondong Lor III Surabaya,True,True,True,True,True,True,Ada,0,Rp1.500.000,6.0
-,-,Kost Fiuri AC Tegalsari Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp1.300.000,6.0
-,+,Kost Pondok Asri 2 Tipe C Tegalsari Surabaya,False,True,True,True,True,False,Ada,0,,5.0
-,-,Kost Oma Nurlidya Tipe A Gubeng Surabaya,True,False,False,False,False,False,Sisa 1 kamar,0,,1.0
-,+,Kost 7B Tipe C Gubeng Surabaya,False,True,True,False,False,False,Penuh,0,,4.0
-,-,Kost Florence 1 Tipe A Tegalsari Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,+,Kost Yuni Bubutan Surabaya,True,False,True,False,False,True,Penuh,0,,5.0
-,-,Kost Karyawan Sawahan Surabaya,True,True,True,True,True,True,Penuh,0,,7.0
-,-,Kost Ambengan Tipe B Tambaksari Surabaya,False,True,True,True,True,True,Penuh,0,,6.0
